stock_id,stock_name,symbol,sector,overall_score,verdict,return_pct,Revenue Growth_raw,Revenue Growth_score,EBITDA Growth_raw,EBITDA Growth_score,Earnings (PBT-OI)_raw,Earnings (PBT-OI)_score,ROE_raw,ROE_score,OCF/EBITDA CAGR_raw,OCF/EBITDA CAGR_score,Gross Block_raw,Gross Block_score,Debt/EBITDA_raw,Debt/EBITDA_score,PE vs 5Y_raw,PE vs 5Y_score,PB vs 5Y_raw,PB vs 5Y_score,EV vs 5Y_raw,EV vs 5Y_score,Revenue Multiplier_raw,Revenue Multiplier_score,EBITDA Multiplier_raw,EBITDA Multiplier_score,20-DMA_raw,20-DMA_score,50-DMA_raw,50-DMA_score,200-DMA_raw,200-DMA_score,RSI_raw,RSI_score,VPT_raw,VPT_score
2806,"Infosys Ltd",INFY,"IT - Software",67.85,BUY,14.09,21.2550,100,15.3320,95,14.8160,80,27.6932,100,-3.7353,30,2.3221,45,-0.4493,100,83.8616,85,93.2697,85,84.5750,85,0.2260,20,0.3400,30,-3.7500,20,-4.1100,20,-4.3200,20,35.5000,30,46.8600,10
3616,"Torrent Pharmaceuticals Ltd",TORNTPHARM,"Pharmaceuticals",67.81,BUY,97.43,5.7480,60,-0.2225,EXCLUDED,1.1436,40,17.4461,85,36.3651,100,-7.3703,EXCLUDED,1.3404,80,188.1081,50,109.2718,80,108.3466,80,2.3960,100,NA,EXCLUDED,-0.5200,30,-2.5300,20,-2.4400,20,43.9300,70,734.2600,30
557,"Tata Consumer Products Ltd",TATACONSUM,"Plantation & Plantation Products",67.70,BUY,37.45,12.1289,80,28.3640,100,29.7242,100,6.6132,45,-15.2090,10,0.2040,45,-1.6682,100,83.1122,85,97.0330,80,87.7267,85,1.9820,100,-0.0840,10,-1.6100,20,-3.9100,20,-6.7300,-10,36.1300,30,1190.7400,30
3219,"Pidilite Industries Ltd",PIDILITIND,"Chemicals",67.22,BUY,14.63,42.0642,100,11.7933,70,12.1202,80,19.7309,85,-36.1509,10,197.7344,100,-0.0692,100,104.3454,80,102.4009,80,103.6082,80,0.1570,10,1.1690,70,0.0400,30,-3.0600,20,-6.2800,-10,46.4500,70,636.0100,30
815,"Dr Reddys Laboratories Ltd",DRREDDY,"Pharmaceuticals",67.04,BUY,25.79,5.2084,60,-21.8848,EXCLUDED,-22.7617,EXCLUDED,11.0325,65,-51.2336,10,5.0511,60,-0.8480,100,117.0220,75,96.6862,80,111.1167,75,4.4200,100,NA,EXCLUDED,0.3100,30,0.8700,30,1.5300,70,52.1600,100,514.5800,10
554,"Tata Power Company Ltd",TATAPOWER,"Power Generation & Distribution",66.88,BUY,63.27,-2.3190,30,13.8706,80,NA,EXCLUDED,17.3799,85,-55.6494,10,-3.0552,EXCLUDED,6.0425,25,47.0289,100,132.0975,70,112.7944,75,NA,EXCLUDED,2.4510,100,1.5100,70,0.1400,30,-3.3300,20,55.0400,100,1630.6500,30
4764,"JSW Steel Ltd",JSWSTEEL,"Steel",66.11,BUY,39.34,69.1257,100,69.5955,100,97.6750,100,24.0510,95,-22.4090,10,37.8644,100,0.8818,95,80.2944,85,96.0913,80,84.1000,85,-0.0720,10,-0.4660,10,-2.8100,20,-4.7600,20,-1.1800,20,37.2400,30,828.0200,30
12001,"NTPC Ltd",NTPC,"Power Generation & Distribution",66.11,BUY,80.45,20.4697,100,19.4597,95,64.5872,100,11.0419,65,17.2479,95,18.9161,90,4.5505,35,127.0140,70,134.3337,70,107.5961,80,0.2990,20,-0.1570,10,1.7200,70,2.3200,70,6.9200,100,58.2300,100,572.5300,30
20287,"Jindal Steel Ltd",JINDALSTEL,"Steel",66.11,BUY,45.34,45.8694,100,10.3325,70,30.9112,100,22.3055,95,31.7283,100,-3.1968,EXCLUDED,0.4251,95,124.0656,75,119.1200,75,117.5457,75,0.0130,10,-1.0260,10,1.8200,70,2.7700,70,17.2000,100,53.4900,100,1327.4700,30
242,"ABB India Ltd",ABB,"Capital Goods - Electrical Equipment",65.83,BUY,48.27,21.4249,100,72.6696,100,147.7794,100,14.3795,75,-11.5690,10,10.0602,80,-3.1641,100,86.1893,85,147.7598,60,105.9348,80,0.4140,40,0.5810,50,5.7200,100,9.3800,100,17.5600,100,70.9200,30,1740.4400,100
