Label,Value,Decimals,UnitId,Description,ContextName,From,To
NumberOfShareholders,1,0,pure,Number of shareholders,MutualFundsOrUti_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NameOfTheShareholder,DEVANSH TRADEMART LLP,0,,Name of the shareholder,D_DetailsOfSharesHeldByBodiesCorporate_Context15,2024-11-26 00:00:00,2025-2-25 00:00:00
NumberOfFullyPaidUpEquityShares,250000,0,shares,Number of fully paid up equity shares,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfShares,250000,0,shares,Total number of shares,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
ShareholdingAsAPercentageOfTotalNumberOfShares,1.48,0,pure,Shareholding as a percentage of total number of shares,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfVotingRightsHeldBySameClassOfSecurities,250000,0,pure,Number of voting rights held by same class of securities,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfVotingRights,250000,0,pure,Number of voting rights,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
PercentageOfTotalVotingRights,1.48,0,pure,Percentage of total voting rights,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfWarrants,0,0,shares,Number of warrants,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfConvertibleSecuritiesAndWarrants,0,0,shares,Number of convertible securities and warrants,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesAndWarrants,1.34,0,pure,Total shareholding as a percentage assuming full conversion of convertible securities and warrants and warrants,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfTheLockedInShares,250000,0,shares,Number of the locked-in-shares,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
LockedInSharesAsAPercentageOfTotalNumberOfShares,100,0,pure,Locked-in-shares as a percentage of total number of shares,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfEquitySharesHeldInDematerializedForm,250000,0,shares,Number of equity shares held in dematerialized form,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfShareUnderSubCategoryOne,0,0,shares,Number of share under sub category one,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfShareUnderSubCategoryTwo,0,0,shares,Number of share under sub category two,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfShareUnderSubCategoryThree,0,0,shares,Number of share under sub category three,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NumberOfShareholders,1,0,pure,Number of shareholders,DetailsOfSharesHeldByBodiesCorporate_Context15,2025-2-25 00:00:00,2025-2-25 00:00:00
NameOfTheShareholder,PRATIBHA DAYAKRISHNA GOYAL,0,,Name of the shareholder,D_DetailsOfSharesHeldByResidentIndividualShareholdersHoldingNominalShareCapitalInExcessOfRsTwoLakh_Context15,2024-11-26 00:00:00,2025-2-25 00:00:00
