Label,Value,Decimals,UnitId,Description,ContextName,From,To
NumberOfShareholders,6,0,pure,Number of shareholders,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfFullyPaidUpEquityShares,1020300,0,shares,Number of fully paid up equity shares,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfShares,1020300,0,shares,Total number of shares,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageOfTotalNumberOfShares,0.93,0,pure,Shareholding as a percentage of total number of shares,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRightsHeldBySameClassOfSecurities,1020300,0,pure,Number of voting rights held by same class of securities,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfVotingRights,1020300,0,pure,Number of voting rights,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
PercentageOfTotalVotingRights,0.93,0,pure,Percentage of total voting rights,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfWarrants,0,0,shares,Number of warrants,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfConvertibleSecuritiesAndWarrants,0,0,shares,Number of convertible securities and warrants,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesAndWarrants,0.84,0,pure,Total shareholding as a percentage assuming full conversion of convertible securities and warrants and warrants,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfTheLockedInShares,770000,0,shares,Number of the locked-in-shares,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
LockedInSharesAsAPercentageOfTotalNumberOfShares,75.47,0,pure,Locked-in-shares as a percentage of total number of shares,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
NumberOfEquitySharesHeldInDematerializedForm,1020300,0,shares,Number of equity shares held in dematerialized form,InstitutionsDomestic_ContextI,2024-9-30 00:00:00,2024-9-30 00:00:00
