Label,Value,Decimals,UnitId,Description,Key
PbtToPbit,0,-7,INR,PBT to PBIT,PbtToPbit
ReturnOnSales,43277826895.7475,-7,INR,Return On Sales,ReturnOnSales
PceRatio,26.6789,-7,INR,PCE Ratio,PceRatio
PfcfRatio,-23.1604,-7,INR,PFCF Ratio,PfcfRatio
ROA_After_Interest,31.8853,-7,INR,ROA_After_Interest,ROA_After_Interest
ROE_After_Interest,52.1642,-7,INR,ROE_After_Interest,ROE_After_Interest
ROE_After_Tax_Rate,52.1642,-7,INR,ROE_After_Tax_Rate,ROE_After_Tax_Rate
ROE_Before_Other_Income,47.9288,-7,INR,ROE Before Other Income,ROE_Before_Other_Income
TotalDebtToMarketCap,0,4,INR,Total Debt to Market Cap,TotalDebtToMarketCap
OpCost_Asset,1.21,-7,INR,OpCost_Asset,OpCost_Asset
SalesGrowth3Y,13.2468,-7,INR,Sales Growth (3 Years),SalesGrowth3Y
ProfitGrowth3Y,15.3512,-7,INR,Profit Growth (3 Years),ProfitGrowth3Y
EpsGrowth3Y,16.4945,0,INRPerShare,EPS Growth (3 Years),EpsGrowth3Y
SalesGrowthRate,5.9906,-7,INR,Sales Growth (3 Years),SalesGrowthRate
SalesPrecedingYear,3652376484.4628,-7,INR,Sales Preceding Year,SalesPrecedingYear
Interest_To_Assets,0,4,INR,Interest_To_Assets,Interest_To_Assets
InvestmentDepositsRatio,0,4,INR,Investment Deposits Ratio,InvestmentDepositsRatio
NetInterestMargin,0,4,INR,Net Interest Margin (NIM),NetInterestMargin
XbrlUrl,https://www.bseindia.com/XBRLFILES/IFIndasDuplicateUploadDocument/Integrated_Finance_Ind_As_532540_11420250124_IFIndAs.xml,0,,XbrlUrl,
