sector,stock_count,stock_name,symbol,overall_score,score_rank,return_pct,return_rank,rank_diff,deviation_pct,bucket
"FMCG",5,"Godrej Consumer Products Ltd",GODREJCP,65.88,5,43.72,2,3,60,"Rest"
"Healthcare",1,"Apollo Hospitals Enterprise Ltd",APOLLOHOSP,61.18,1,97.99,1,0,0,"Exact"
"Insurance",2,"SBI Life Insurance Company Ltd",SBILIFE,77.70,1,57.81,1,0,0,"Exact"
"Insurance",2,"HDFC Life Insurance Company Ltd",HDFCLIFE,51.90,2,-16.36,2,0,0,"Exact"
"IT - Software",6,"LTIMindtree Ltd",LTM,69.94,1,19.3,5,4,66.67,"Rest"
"IT - Software",6,"Tech Mahindra Ltd",TECHM,66.00,2,52.44,2,0,0,"Exact"
"IT - Software",6,"Tata Consultancy Services Ltd",TCS,64.10,3,13.87,6,3,50,"Rest"
"IT - Software",6,"HCL Technologies Ltd",HCLTECH,61.83,4,63.18,1,3,50,"Rest"
"IT - Software",6,"Wipro Ltd",WIPRO,58.92,5,27.51,3,2,33.33,"Rest"
"IT - Software",6,"Infosys Ltd",INFY,56.75,6,25.61,4,2,33.33,"Rest"
"Mining & Mineral products",1,"Coal India Ltd",COALINDIA,87.49,1,138.44,1,0,0,"Exact"
"Non Ferrous Metals",2,"Hindustan Zinc Ltd",HINDZINC,65.14,1,22.87,2,1,50,"Rest"
"Non Ferrous Metals",2,"Hindalco Industries Ltd",HINDALCO,55.19,2,76.53,1,1,50,"Rest"
"Paints/Varnish",1,"Asian Paints Ltd",ASIANPAINT,68.79,1,-9.26,1,0,0,"Exact"
"Pharmaceuticals",3,"Sun Pharmaceutical Industries Ltd",SUNPHARMA,71.96,1,155.19,1,0,0,"Exact"
"Pharmaceuticals",3,"Torrent Pharmaceuticals Ltd",TORNTPHARM,57.54,2,136.1,2,0,0,"Exact"
"Pharmaceuticals",3,"Cipla Ltd",CIPLA,55.47,3,73.23,3,0,0,"Exact"
"Power Generation & Distribution",4,"NTPC Ltd",NTPC,78.88,1,176.35,2,1,25,"Within 25%"
"Power Generation & Distribution",4,"Power Grid Corporation of India Ltd",POWERGRID,66.13,2,96.02,3,1,25,"Within 25%"
"Power Generation & Distribution",4,"Tata Power Company Ltd",TATAPOWER,46.26,3,222.28,1,2,50,"Rest"
"Power Generation & Distribution",4,"Adani Energy Solutions Ltd",ADANIENSOL,41.52,4,-21.39,4,0,0,"Exact"
"Refineries",2,"Reliance Industries Ltd",RELIANCE,68.21,1,20.06,1,0,0,"Exact"
"Refineries",2,"Bharat Petroleum Corporation Ltd",BPCL,51.94,2,1.77,2,0,0,"Exact"
"Retail",1,"Avenue Supermarts Ltd",DMART,72.57,1,7.46,1,0,0,"Exact"
"Steel",2,"JSW Steel Ltd",JSWSTEEL,55.15,1,122.05,1,0,0,"Exact"
"Steel",2,"Tata Steel Ltd",TATASTEEL,42.64,2,76.53,2,0,0,"Exact"
"Telecom Equipment & Infra Services",1,"Indus Towers Ltd",INDUSTOWER,71.20,1,25.43,1,0,0,"Exact"
"Textiles",1,"Grasim Industries Ltd",GRASIM,46.71,1,75.69,1,0,0,"Exact"
"Tobacco Products",1,"ITC Ltd",ITC,87.83,1,98.88,1,0,0,"Exact"
"Trading",1,"Adani Enterprises Ltd",ADANIENT,45.53,1,128.98,1,0,0,"Exact"
