stock_id,stock_name,symbol,sector,mcap_type,industry,financial_score,qm_score,technical_score,start_price,end_price,return_pct
72780,"Go Digit General Insurance Ltd",GODIGIT,"Insurance",Small Cap,"General Insurance",37.00,0.00,73.50,367.8,340.05,-7.54
73120,"A B Infrabuild Ltd",ABINFRA,"Infrastructure Developers & Operators",Small Cap,"Construction - Civil / Turnkey - Medium / Small",52.25,0.00,0.00,19.36,18.38,-5.06
73198,"Diksha Greens Ltd",542155,"Miscellaneous",Small Cap,"Decoratives - Wood-based",16.00,0.00,1.00,2.43,1.37,-43.62
73254,"Spectrum Electrical Industries Ltd",SPECTRUM,"Capital Goods - Electrical Equipment",Small Cap,"Electric Equipment - General - Medium / Small",75.25,0.00,0.00,1458.4,1260.65,-13.56
73286,"Prostarm Info Systems Ltd",PROSTARM,"Capital Goods - Electrical Equipment",Small Cap,"Electric Equipment - General - Medium / Small",83.00,0.00,0.00,203.45,152.45,-25.07
73585,"Mahip Industries Ltd",542503,"Packaging",Small Cap,"Packaging - Others",16.25,0.00,0.00,3.43,18.6,442.27
73975,"Gala Precision Engineering Ltd",GALAPREC,"Castings, Forgings & Fastners",Small Cap,"Fasteners",84.25,0.00,18.50,834.75,747.6,-10.44
74261,"Aegis Vopak Terminals Ltd",AEGISVOPAK,"Logistics",Small Cap,"Miscellaneous - Medium / Small",17.75,0.00,0.00,252.85,235.75,-6.76
74388,"Shree Refrigerations Ltd",544458,"Engineering",Small Cap,"Engineering - Light - General - Medium / Small",77.75,0.00,0.00,180.2,178.2,-1.11
74592,"Mangalam Global Enterprise Ltd",MGEL,"Trading",Small Cap,"Trading - Medium / Small",74.75,0.00,56.50,15.92,11.2,-29.65
74653,"Valencia Nutrition Ltd",542910,"FMCG",Small Cap,"Food - Processing - Others",14.00,0.00,81.00,74.95,60,-19.95
75082,"Jungle Camps India Ltd",544304,"Hotels & Restaurants",Small Cap,"Hotels - Resorts",55.75,0.00,0.00,61.25,45.42,-25.84
75208,"RDB Real Estate Construction Ltd",544346,"Realty",Small Cap,"Construction - Factories / Offices / Commercial",37.75,0.00,0.00,273.9,162.95,-40.51
75273,"Blackbuck Ltd",BLACKBUCK,"Logistics",Small Cap,"Transport - Road",20.00,0.00,0.00,644,600.35,-6.78
75316,"Suumaya Corporation Ltd",543274,"Trading",Small Cap,"Trading - Medium / Small",17.50,0.00,-4.00,2.22,1.19,-46.4
75371,"Network People Services Technologies Ltd",NPST,"IT - Software",Small Cap,"IT Enabled Services / Business Process Outsourcing",86.50,0.00,0.00,2345.9,1155.1,-50.76
75406,"Storage Technologies & Automation Ltd",544171,"Capital Goods-Non Electrical Equipment",Small Cap,"Engineering - Light - General - Medium / Small",73.75,0.00,14.00,75,42.34,-43.55
75410,"Unicommerce eSolutions Ltd",UNIECOM,"IT - Software",Small Cap,"Computers - Software - Medium / Small",82.75,0.00,58.50,140.95,107.05,-24.05
75448,"National Peroxide Ltd",544205,"Chemicals",Small Cap,"Chemicals - Inorganic - Medium / Small",21.25,0.00,18.50,646.4,402.85,-37.68
75556,"Ather Energy Ltd",ATHERENERG,"Automobile",Small Cap,"Automobiles - Scooters and 3-Wheelers",26.00,0.00,0.00,416.8,706.8,69.58
75559,"Ola Electric Mobility Ltd",OLAELEC,"Automobile",Small Cap,"Automobiles - Motorcycles / Mopeds",24.25,0.00,61.50,47.18,25.55,-45.85
75790,"BEML Land Assets Ltd",BLAL,"Construction",Small Cap,"Construction - Factories / Offices / Commercial",1.00,0.00,33.50,208.45,186.6,-10.48
75817,"Le Travenues Technology Ltd",IXIGO,"E-Commerce/App based Aggregator",Small Cap,"Travel Agencies",52.75,0.00,79.00,280.15,166,-40.75
