sector,stock_name,symbol,overall_score,return_pct,score_rank,return_rank,rank_deviation,rank_deviation_pct,bucket
"Crude Oil & Natural Gas","Oil India Ltd",OIL,54.04,14.85,7,3,4,50,"Rest"
"Crude Oil & Natural Gas","Gujarat Natural Resources Ltd",513536,46.58,61.87,8,1,7,87.5,"Rest"
"Diamond, Gems and Jewellery","Vaibhav Global Ltd",VAIBHAVGBL,79.63,5.29,1,20,19,31.15,"Rest"
"Diamond, Gems and Jewellery","Uday Jewellery Industries Ltd",539518,79.41,-27.20,2,55,53,86.89,"Rest"
"Diamond, Gems and Jewellery","Titan Company Ltd",TITAN,78.91,19.52,3,9,6,9.84,"Within 10%"
"Diamond, Gems and Jewellery","RBZ Jewellers Ltd",RBZJEWEL,77.60,-8.29,4,33,29,47.54,"Rest"
"Diamond, Gems and Jewellery","Patdiam Jewellery Ltd",539401,74.60,-4.55,5,31,26,42.62,"Rest"
"Diamond, Gems and Jewellery","Manoj Vaibhav Gems N Jewellers Ltd",MVGJL,73.87,-23.55,6,48,42,68.85,"Rest"
"Diamond, Gems and Jewellery","Khazanchi Jewellers Ltd",543953,72.53,28.95,7,8,1,1.64,"Within 10%"
"Diamond, Gems and Jewellery","Starlineps Enterprises Ltd",540492,72.41,117.13,8,1,7,11.48,"Within 25%"
"Diamond, Gems and Jewellery","Dev Labtech Venture Ltd",543848,72.22,35.82,9,6,3,4.92,"Within 10%"
"Diamond, Gems and Jewellery","PNGS Gargi Fashion Jewellery Ltd",543709,71.91,-0.32,10,27,17,27.87,"Rest"
"Diamond, Gems and Jewellery","Rajesh Exports Ltd",RAJESHEXPO,67.52,-18.02,11,40,29,47.54,"Rest"
"Diamond, Gems and Jewellery","Motisons Jewellers Ltd",MOTISONS,67.45,-20.90,12,45,33,54.1,"Rest"
"Diamond, Gems and Jewellery","Narbada Gems & Jewellery Ltd",519455,67.40,-19.64,13,41,28,45.9,"Rest"
"Diamond, Gems and Jewellery","S.M. Gold Ltd",542034,66.44,-11.81,14,35,21,34.43,"Rest"
"Diamond, Gems and Jewellery","Palm Jewels Ltd",541444,65.78,-33.61,15,58,43,70.49,"Rest"
"Diamond, Gems and Jewellery","Eighty Jewellers Ltd",543518,65.73,-5.85,16,32,16,26.23,"Rest"
"Diamond, Gems and Jewellery","Senco Gold Ltd",SENCO,64.40,-15.97,17,38,21,34.43,"Rest"
"Diamond, Gems and Jewellery","Shukra Bullions Ltd",531506,64.18,10.80,18,16,2,3.28,"Within 10%"
"Diamond, Gems and Jewellery","Goldiam International Ltd",GOLDIAM,63.68,-3.08,19,28,9,14.75,"Within 25%"
"Diamond, Gems and Jewellery","Ausom Enterprise Ltd",AUSOMENT,63.34,-12.67,20,36,16,26.23,"Rest"
