stock_id,stock_name,symbol,sector,overall_score,verdict,return_pct,Revenue Growth_raw,Revenue Growth_score,EBITDA Growth_raw,EBITDA Growth_score,Earnings (PBT-OI)_raw,Earnings (PBT-OI)_score,ROE_raw,ROE_score,OCF/EBITDA CAGR_raw,OCF/EBITDA CAGR_score,Gross Block_raw,Gross Block_score,Debt/EBITDA_raw,Debt/EBITDA_score,PE vs 5Y_raw,PE vs 5Y_score,PB vs 5Y_raw,PB vs 5Y_score,EV vs 5Y_raw,EV vs 5Y_score,Revenue Multiplier_raw,Revenue Multiplier_score,EBITDA Multiplier_raw,EBITDA Multiplier_score,20-DMA_raw,20-DMA_score,50-DMA_raw,50-DMA_score,200-DMA_raw,200-DMA_score,RSI_raw,RSI_score,VPT_raw,VPT_score
24949,"H T Media Ltd",HTMEDIA,"Media - Print/Television/Radio",47.22,REVIEW,-13.52,16.6357,95,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,-9.4539,EXCLUDED,3.6197,40,NA,EXCLUDED,167.3140,50,78.2445,90,NA,EXCLUDED,NA,EXCLUDED,3.7900,70,10.5500,100,16.5000,100,64.6000,100,1892.4800,30
61,"Batliboi Ltd",BATLIBOI,"Capital Goods-Non Electrical Equipment",47.21,REVIEW,-20.83,32.2494,100,37.7550,100,NA,EXCLUDED,5.9771,45,NA,EXCLUDED,6.0063,60,2.8067,55,237.3258,50,256.4949,50,149.7293,60,NA,EXCLUDED,NA,EXCLUDED,-4.1900,20,-6.2200,-10,-5.9700,-10,41.0100,70,1876.4200,30
6569,"Ekansh Concepts Ltd",531364,"Miscellaneous",47.21,REVIEW,-28.42,-8.0031,20,-16.6396,EXCLUDED,NA,EXCLUDED,20.1547,95,13.6457,80,-11.6897,EXCLUDED,1.3540,80,2282.7651,50,432.9073,50,604.4710,50,NA,EXCLUDED,NA,EXCLUDED,0.0400,30,8.1700,100,50.2500,100,52.8700,100,1774.6600,30
3696,"Tulasee Bio-Ethanol Ltd",524514,"Chemicals",47.20,REVIEW,67.29,NA,EXCLUDED,-4.2810,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,0.0000,45,-56.9130,10,NA,EXCLUDED,120.3073,75,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED
2305,"Hindustan Petroleum Corporation Ltd",HINDPETRO,"Refineries",47.17,REVIEW,11.85,16.6214,95,0.4092,40,-10.9506,EXCLUDED,26.5510,100,-5.6492,20,3.2874,45,3.3614,50,286.3739,50,211.8439,50,175.5602,50,NA,EXCLUDED,NA,EXCLUDED,-3.5700,20,-4.8300,20,0.4300,30,37.3800,30,460.4600,30
3167,"Shetron Ltd",SHETRON,"Packaging",47.14,REVIEW,-22.95,7.5148,60,8.7133,70,NA,EXCLUDED,10.5692,65,NA,EXCLUDED,1.7914,45,1.5864,75,366.7105,50,247.6687,50,167.0226,50,NA,EXCLUDED,NA,EXCLUDED,-0.6600,30,1.6400,70,3.9900,70,49.5800,70,3921.6300,30
7108,"Ontic Finserve Ltd",540386,"Finance",47.11,REVIEW,140.85,-59.5747,10,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,-28.3495,EXCLUDED,-2582246.9524,10,NA,EXCLUDED,113.3871,75,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,1.2900,70,0.0000,30,1.3400,70,52.5100,100,3921.1600,30
2818,"P.M. Telelinnks Ltd",513403,"Trading",47.10,REVIEW,90.49,-17.0897,10,-37.4264,EXCLUDED,-42.6062,EXCLUDED,5.8067,45,-63.7647,10,0.0000,45,-1.7856,100,9778.4129,50,109.4760,80,7177.4335,50,NA,EXCLUDED,NA,EXCLUDED,-11.7800,-10,-8.6800,-10,1.5400,70,37.9100,30,828.9000,30
225,"Gujarat Petrosynthese Ltd",506858,"Plastic products",47.07,REVIEW,-5.87,0.1995,40,NA,EXCLUDED,NA,EXCLUDED,6.6602,45,NA,EXCLUDED,-0.1610,EXCLUDED,-0.5778,100,266.4002,50,135.7843,65,136.1252,65,NA,EXCLUDED,NA,EXCLUDED,2.0100,70,2.7700,70,1.9400,70,56.0400,100,1101.6900,30
1044,"ATV Projects India Ltd",ATVPROJ,"Engineering",47.06,REVIEW,-7.13,20.2446,100,21.3818,100,-1.7813,EXCLUDED,3.5459,35,NA,EXCLUDED,-0.2749,EXCLUDED,4.8893,35,381.9696,50,390.1535,50,138.3290,65,NA,EXCLUDED,NA,EXCLUDED,-2.0500,20,-2.6900,20,2.9500,70,43.5000,70,1327.2600,30
66318,"BIGBLOC Construction Ltd",BIGBLOC,"Cement - Products",47.06,REVIEW,-11.65,6.0901,60,-23.9287,EXCLUDED,NA,EXCLUDED,19.7897,85,118.4519,100,17.2287,90,33.1014,10,NA,EXCLUDED,753.9771,50,1982.2529,50,NA,EXCLUDED,NA,EXCLUDED,4.3100,70,-1.1300,20,-21.5100,-10,55.2900,100,1788.6000,30
2852,"Viceroy Hotels Ltd",VHLTD,"Hotels & Restaurants",47.05,REVIEW,26.08,53.1227,100,NA,EXCLUDED,NA,EXCLUDED,11.9574,65,NA,EXCLUDED,-2.4472,EXCLUDED,0.9316,95,347.4707,50,965.4607,50,334.3054,50,NA,EXCLUDED,NA,EXCLUDED,7.2200,100,9.4700,100,12.5500,100,68.3900,70,1027.2900,30
621,"Zuari Industries Ltd",ZUARIIND,"Sugar",47.04,REVIEW,-26.81,1.0178,40,-8.6490,EXCLUDED,NA,EXCLUDED,1.2269,35,-50.7249,10,-2.8413,EXCLUDED,6.3434,25,NA,EXCLUDED,150.1683,60,155.4076,60,NA,EXCLUDED,NA,EXCLUDED,10.4900,100,15.6800,100,17.0100,100,63.6600,100,2122.1800,100
12208,"Madhucon Projects Ltd",MADHUCON,"Infrastructure Developers & Operators",47.04,REVIEW,-25.31,21.4211,100,22.5712,EXCLUDED,NA,EXCLUDED,0.8389,35,NA,EXCLUDED,-10.2788,EXCLUDED,-52.0530,10,NA,EXCLUDED,125.5225,70,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,-4.0800,20,-8.8600,-10,-20.8100,-10,40.7600,70,1475.2600,20
28292,"Cords Cable Industries Ltd",CORDSCABLE,"Cables",47.04,REVIEW,-7.44,10.6402,70,1.9482,40,-2.2247,EXCLUDED,5.1260,45,8.5791,70,4.4083,45,0.5940,95,184.5264,50,274.0853,50,180.4077,50,NA,EXCLUDED,NA,EXCLUDED,-1.8100,20,-4.0900,20,-3.8500,20,43.2300,70,2912.9200,20
800,"Bajaj Steel Industries Ltd",507944,"Capital Goods-Non Electrical Equipment",47.03,REVIEW,-12.77,2.6343,50,-0.2343,EXCLUDED,6.6986,60,24.4299,95,-12.0252,10,16.8045,90,-0.4451,100,592.0493,50,500.5559,50,843.7249,50,NA,EXCLUDED,NA,EXCLUDED,-10.0700,-10,-19.3200,-10,-26.5600,-10,21.1000,20,1385.1600,10
4016,"Longview Tea Company Ltd",526568,"Trading",47.03,REVIEW,-42.4,8.3109,70,NA,EXCLUDED,NA,EXCLUDED,12.1228,75,NA,EXCLUDED,-12.8618,EXCLUDED,-11.2246,100,614.9072,50,106.5512,80,409.8678,50,NA,EXCLUDED,NA,EXCLUDED,-18.1200,-10,-22.6700,-10,-32.9300,-10,24.0500,20,861.4500,10
3321,"Orient Beverages Ltd",507690,"FMCG",47.01,REVIEW,3.92,33.8385,100,NA,EXCLUDED,NA,EXCLUDED,11.7863,65,NA,EXCLUDED,3.9889,45,5.0075,35,152.0227,60,171.7985,50,101.7087,80,NA,EXCLUDED,NA,EXCLUDED,2.4400,70,0.6400,30,-10.1900,-10,55.0700,100,3138.8600,30
1369,"Man Industries (India) Ltd",MANINDS,"Steel",47.00,REVIEW,6.93,11.0628,70,8.6098,70,-1.5039,EXCLUDED,10.0432,65,NA,EXCLUDED,-1.0446,EXCLUDED,-0.1974,100,250.7028,50,245.4917,50,308.4893,50,NA,EXCLUDED,NA,EXCLUDED,-2.8600,20,-0.8000,30,13.1200,100,45.4400,70,1372.1400,20
148,"EID Parry (India) Ltd",EIDPARRY,"Sugar",46.98,REVIEW,-26.45,9.4426,70,-17.9623,EXCLUDED,NA,EXCLUDED,13.6494,75,NA,EXCLUDED,18.3107,90,3.7385,40,NA,EXCLUDED,269.3576,50,443.5648,50,NA,EXCLUDED,NA,EXCLUDED,1.2800,70,5.5800,100,24.9800,100,54.8900,100,870.6600,30
6270,"Chemiesynth (Vapi) Ltd",539230,"Chemicals",46.98,REVIEW,4.99,-1.3023,30,-20.6703,EXCLUDED,NA,EXCLUDED,24.8797,95,0.7459,40,2.9810,45,6.8382,25,NA,EXCLUDED,158.8831,60,165.3763,50,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED
7994,"Mercury EV-Tech Ltd",531357,"Automobile",46.98,REVIEW,-35,176.5614,100,NA,EXCLUDED,NA,EXCLUDED,7.2605,55,NA,EXCLUDED,34.4769,100,-10.8023,100,1489.6674,50,241.2221,50,52.0818,100,NA,EXCLUDED,NA,EXCLUDED,4.5100,70,-1.0800,20,-19.8600,-10,54.6000,100,1098.7500,100
75774,"Gretex Corporate Services Ltd",GCSL,"Finance",46.98,REVIEW,19.95,80.3798,100,211.0218,100,NA,EXCLUDED,NA,EXCLUDED,-73.4694,10,16.8243,90,71.7548,10,NA,EXCLUDED,811.8532,50,146.0482,60,NA,EXCLUDED,NA,EXCLUDED,0.9600,30,-0.3300,30,0.8700,30,50.9000,100,1500.7400,100
1802,"Betex India Ltd",512477,"Textiles",46.97,REVIEW,-5.48,18.7728,95,4.3726,60,-8.1992,EXCLUDED,7.6401,55,-27.1308,10,-4.0024,EXCLUDED,-2.2007,100,498.0040,50,375.2709,50,305.8800,50,NA,EXCLUDED,NA,EXCLUDED,-2.9500,20,-2.4000,20,1.9800,70,45.8100,70,1689.9700,30
4630,"Sambandam Spinning Mills Ltd",SAMBANDAM,"Textiles",46.90,REVIEW,-18,3.8897,50,-25.2598,EXCLUDED,NA,EXCLUDED,10.7046,65,NA,EXCLUDED,-5.0921,EXCLUDED,11.1540,10,NA,EXCLUDED,104.6843,80,213.7192,50,NA,EXCLUDED,NA,EXCLUDED,-4.7400,20,-8.5700,-10,-15.0000,-10,41.6600,70,470.5200,30
5704,"Madras Fertilizers Ltd",MADRASFERT,"Fertilizers",46.89,REVIEW,-26.44,13.8321,80,4.4819,60,NA,EXCLUDED,-26.8886,10,-33.2741,10,1.3856,45,5.4960,35,221.3253,50,NA,EXCLUDED,147.1252,60,NA,EXCLUDED,NA,EXCLUDED,3.0500,70,3.4200,70,3.7400,70,59.2800,100,3116.4700,30
44137,"Lancer Containers Lines Ltd",LANCER,"Logistics",46.85,REVIEW,-23.69,7.9324,60,-0.3560,EXCLUDED,NA,EXCLUDED,22.3241,95,9.7597,70,28.1342,100,2.1674,65,3366.3484,50,223.1749,50,855.9259,50,NA,EXCLUDED,NA,EXCLUDED,-2.7900,20,-8.6800,-10,-43.6900,-10,44.1300,70,613.2600,30
3084,"Polymechplast Machines Ltd",526043,"Capital Goods-Non Electrical Equipment",46.84,REVIEW,-20.18,1.6756,40,-13.7681,EXCLUDED,-35.7905,EXCLUDED,9.4562,55,NA,EXCLUDED,-5.2920,EXCLUDED,-4.6240,100,293.3560,50,116.3672,75,187.0721,50,NA,EXCLUDED,NA,EXCLUDED,1.3000,70,0.8200,30,-0.8400,30,52.3100,100,4378.2500,20
1473,"Rama Phosphates Ltd",RAMAPHO,"Fertilizers",46.83,REVIEW,-12.35,6.4895,60,-7.0905,EXCLUDED,-20.8396,EXCLUDED,17.0238,85,4.7646,60,-2.2509,EXCLUDED,2.1921,65,810.4798,50,228.6114,50,414.4483,50,NA,EXCLUDED,NA,EXCLUDED,0.3800,30,4.3600,70,22.8100,100,51.4800,100,2168.0000,30
2088,"Thacker & Company Ltd",509945,"Diversified",46.79,REVIEW,-35.19,10.8363,70,12.7485,80,NA,EXCLUDED,6.3274,45,NA,EXCLUDED,-7.8821,EXCLUDED,-0.3825,100,227.1523,50,283.5794,50,321.4413,50,NA,EXCLUDED,NA,EXCLUDED,-0.6800,30,-0.6800,30,6.1600,100,47.6000,70,2187.3200,30
24115,"P B A Infrastructure Ltd",PBAINFRA,"Infrastructure Developers & Operators",46.79,REVIEW,-28.78,22.9716,100,4.2519,60,NA,EXCLUDED,2.4196,35,-37.1262,10,-21.2083,EXCLUDED,66.5285,10,146.8880,60,NA,EXCLUDED,202.5101,50,NA,EXCLUDED,NA,EXCLUDED,-1.8800,20,1.1600,70,4.4200,70,47.4000,70,3208.4500,30
92578,"Harshdeep Hortico Ltd",544105,"FMCG",46.79,REVIEW,-17.93,NA,EXCLUDED,NA,EXCLUDED,NA,EXCLUDED,29.0951,100,NA,EXCLUDED,16.3890,90,-0.1477,100,176.6664,50,191.1916,50,185.0235,50,NA,EXCLUDED,NA,EXCLUDED,7.4100,100,16.2700,100,41.5900,100,68.5500,70,356.7300,20
