stock_id,stock_name,symbol,sector,mcap_type,overall_score,verdict,financial_score,valuation_score,qm_score,technical_score,start_price,end_price,return_pct,outperformance_vs_avg
69335,"Aditya Vision Ltd",AVL,"Retail",Small Cap,64.65,HOLD,80.00,50.00,0.00,93.00,502.05,481.6,-4.07,-0.41
3713,"Southern Magnesium & Chemicals Ltd",513498,"Mining & Mineral products",Small Cap,64.64,HOLD,56.50,79.50,0.00,4.00,126.15,78.24,-37.98,-34.32
7708,"Alliance Integrated Metaliks Ltd",534064,"Steel",Small Cap,64.61,HOLD,28.00,100.00,0.00,-6.00,1.79,1.55,-13.41,-9.75
9,"Aegis Logistics Ltd",AEGISLOG,"Trading",Small Cap,64.60,HOLD,81.00,57.50,0.00,40.00,734.8,727.3,-1.02,2.64
433,"Permanent Magnets Ltd",PERMAGNET,"Capital Goods - Electrical Equipment",Small Cap,64.60,HOLD,70.25,57.50,0.00,86.00,1035.45,808.25,-21.94,-18.28
14266,"Jaiprakash Power Ventures Ltd",JPPOWER,"Power Generation & Distribution",Small Cap,64.60,HOLD,67.75,64.00,0.00,55.00,18.87,14.69,-22.15,-18.49
72507,"Avro India Ltd",AVROIND,"Plastic products",Small Cap,64.60,HOLD,56.25,75.00,0.00,33.50,159,129.75,-18.4,-14.74
1945,"India Motor Parts & Accessories Ltd",IMPAL,"Auto Ancillaries",Small Cap,64.58,HOLD,51.25,79.00,0.00,29.00,1048.2,1044.1,-0.39,3.27
75835,"Tracxn Technologies Ltd",TRACXN,"IT - Software",Small Cap,64.57,HOLD,41.50,90.00,0.00,0.00,51.28,32.1,-37.4,-33.74
4518,"Kalpataru Projects International Ltd",KPIL,"Infrastructure Developers & Operators",Small Cap,64.56,HOLD,80.50,52.00,0.00,77.00,1300.3,1214.05,-6.63,-2.97
525,"Southern Petrochemicals Industries Corporation Ltd",SPIC,"Fertilizers",Small Cap,64.55,HOLD,68.50,57.50,0.00,93.00,110.48,69.41,-37.17,-33.51
1194,"RACL Geartech Ltd",RACLGEAR,"Auto Ancillaries",Small Cap,64.55,HOLD,54.50,69.00,0.00,79.00,930.45,1428.1,53.48,57.14
43768,"Julien Agro Infratech Ltd",536073,"Trading",Small Cap,64.55,HOLD,25.00,87.50,0.00,86.50,5.04,2,-60.32,-56.66
67804,"Gokul Agro Resources Ltd",GOKULAGRO,"Edible Oil",Small Cap,64.55,HOLD,83.25,50.00,0.00,78.00,163.98,170.05,3.7,7.36
1106,"Huhtamaki India Ltd",HUHTAMAKI,"Packaging",Small Cap,64.54,HOLD,47.25,83.00,0.00,20.00,215.05,173,-19.55,-15.89
1026,"GHCL Ltd",GHCL,"Chemicals",Small Cap,64.53,HOLD,68.75,69.50,0.00,14.50,572.95,481.2,-16.01,-12.35
5951,"Alicon Castalloy Ltd",ALICON,"Castings, Forgings & Fastners",Small Cap,64.53,HOLD,55.25,78.50,0.00,14.50,850.45,786.9,-7.47,-3.81
42781,"Stove Kraft Ltd",STOVEKRAFT,"Consumer Durables",Small Cap,64.53,HOLD,52.75,68.50,0.00,89.50,666.7,487.05,-26.95,-23.29
5905,"Medicamen Biotech Ltd",MEDICAMEQ,"Pharmaceuticals",Small Cap,64.52,HOLD,34.25,93.50,0.00,8.00,352.2,292.3,-17.01,-13.35
7747,"Frontline Corporation Ltd",532042,"Trading",Small Cap,64.51,HOLD,53.25,66.50,0.00,100.00,51.42,29.05,-43.5,-39.84
1066,"Murudeshwar Ceramics Ltd",MURUDCERA,"Ceramic Products",Small Cap,64.50,HOLD,55.75,71.50,0.00,57.00,44.1,32.24,-26.89,-23.23
1708,"Continental Chemicals Ltd",506935,"IT - Software",Small Cap,64.48,HOLD,49.00,72.00,0.00,82.50,77,74.47,-3.29,0.37
1572,"Jai Corp Ltd",JAICORPLTD,"Plastic products",Small Cap,64.47,HOLD,48.75,76.50,0.00,54.50,129.55,111.85,-13.66,-10
16819,"IZMO Ltd",IZMO,"IT - Software",Small Cap,64.47,HOLD,45.25,73.00,0.00,92.00,585.6,775.15,32.37,36.03
184,"Gabriel India Ltd",GABRIEL,"Auto Ancillaries",Small Cap,64.46,HOLD,82.75,50.00,0.00,79.00,1191.25,1011.25,-15.11,-11.45
27341,"Voltamp Transformers Ltd",VOLTAMP,"Capital Goods - Electrical Equipment",Small Cap,64.44,HOLD,97.75,50.00,0.00,14.50,8217.85,8725.55,6.18,9.84
33975,"Senco Gold Ltd",SENCO,"Diamond, Gems and Jewellery",Small Cap,64.40,HOLD,76.25,57.50,0.00,58.00,379.2,318.65,-15.97,-12.31
43224,"NIBE Ltd",NIBE,"Aerospace & Defence",Small Cap,64.38,HOLD,79.75,64.00,0.00,1.00,1200.85,1041.45,-13.27,-9.61
2975,"Aarti Drugs Ltd",AARTIDRUGS,"Pharmaceuticals",Small Cap,64.37,HOLD,48.75,76.00,0.00,56.50,482.8,369.7,-23.43,-19.77
